iso3,country,year,gdp_const,labor_force,gcf_const,inflation_cpi,fdi_gdp,gov_consumption_const,broad_money_gdp,education_years_adults,kof_overall,kof_overall_de_facto,kof_overall_de_jure,kof_economic,kof_economic_de_facto,kof_economic_de_jure,kof_trade,kof_trade_de_facto,kof_trade_de_jure,kof_financial,kof_financial_de_facto,kof_financial_de_jure,kof_social,kof_social_de_facto,kof_social_de_jure,kof_interpersonal,kof_interpersonal_de_facto,kof_interpersonal_de_jure,kof_informational,kof_informational_de_facto,kof_informational_de_jure,kof_cultural,kof_cultural_de_facto,kof_cultural_de_jure,kof_political,kof_political_de_facto,kof_political_de_jure,gdp_per_worker,gcf_per_worker,ln_gdp_per_worker,ln_gcf_per_worker,d_ln_gdp_per_worker,gdp_per_worker_growth_pct,crisis_financial_2008_2009,crisis_debt_2010_2012,crisis_covid_2020_2021,crisis_energy_war_2022_2023
BGR,Bulgaria,1995,33809161451.13693,3427355.0,299660526.4986121,62.0548336837992,0.4760028126241987,9064349080.195261,46.12680169039655,8.26,58.84654998779297,58.283939361572266,59.40913772583008,50.29939651489258,49.771827697753906,50.826961517333984,54.3070182800293,57.93046951293945,50.68356704711914,46.291770935058594,41.61317825317383,50.970367431640625,50.38258361816406,47.12712860107422,53.63803482055664,45.85130310058594,41.84801483154297,49.854591369628906,45.710201263427734,52.029632568359375,39.390769958496094,59.586238861083984,47.50373458862305,71.66873931884766,75.85765075683594,77.952880859375,73.76244354248047,9864.505267512974,87.4320070429273,9.1966982669217,4.470861428927568,0.030141256080499446,3.0141256080499446,0,0,0,0
BGR,Bulgaria,1996,35569061221.19983,3413411.0,246347233.2241679,121.60754244925,0.8865417790090159,6914984522.950921,60.23526625422527,8.556666,62.68941879272461,62.661380767822266,62.71743392944336,58.26625061035156,60.90944290161133,55.623043060302734,60.08427047729492,72.72489929199219,47.44363784790039,56.44822311401367,49.093994140625,63.80245590209961,50.92076873779297,47.483482360839844,54.35805892944336,48.51362609863281,42.50653076171875,54.52071762084961,48.33539581298828,52.68744659423828,43.983341217041016,55.9133186340332,47.25648880004883,64.57014465332031,78.8812026977539,79.59119415283203,78.17120361328125,10420.386300155425,72.17039882515405,9.251519387571749,4.279029973259214,0.05482112065004863,5.482112065004863,0,0,0,0
BGR,Bulgaria,1997,30548352778.31543,3450756.0,2432863730.32076,1058.37355921973,4.46089004740716,4859805216.930469,31.24949264034927,8.853333,64.33631134033203,64.63207244873047,64.0405502319336,61.61592102050781,66.24169158935547,56.99016189575195,62.87359619140625,76.1648941040039,49.58229064941406,60.35825729370117,56.3184928894043,64.39802551269531,51.43857955932617,47.55304718017578,55.3241081237793,48.928810119628906,42.31852340698242,55.539093017578125,50.44186782836914,54.045555114746094,46.83818435668945,54.945037841796875,46.295047760009766,63.59503173828125,79.95442962646484,80.10145568847656,79.80738830566406,8852.655122041497,705.0234007622561,9.088472706796837,6.558230994831984,-0.16304668077491158,-16.304668077491158,0,0,0,0
BGR,Bulgaria,1998,31705866815.77304,3432014.0,4443529969.153524,18.672204442064,3.574714179938819,6995369802.459302,25.11981653238745,9.15,64.57398986816406,63.389984130859375,65.75798797607422,60.31132507324219,61.42899703979492,59.19366455078125,61.682071685791016,70.08306884765625,53.28107452392578,58.94058609008789,52.774925231933594,65.10624694824219,52.24435043334961,48.195045471191406,56.293643951416016,49.88996887207031,43.76877975463867,56.011165618896484,51.70976257324219,53.839900970458984,49.57963180541992,55.13329315185547,46.976444244384766,63.290130615234375,81.16629791259766,80.54593658447266,81.78665161132812,9238.268496507602,1294.7295579661168,9.13110975492277,7.166057116777059,0.04263704812593261,4.263704812593261,0,0,0,0
BGR,Bulgaria,1999,29043813399.51029,3458070.0,4919418985.259413,2.57304281890212,6.004122871983883,6552187431.810723,30.09080484812164,9.446667,66.64869689941406,64.38518524169922,68.9122085571289,62.156856536865234,61.46698760986328,62.846717834472656,64.65994262695312,69.10469818115234,60.21518325805664,59.65376281738281,53.82927322387695,65.47826385498047,54.67853927612305,51.07532501220703,58.281761169433594,50.94747543334961,44.696651458740234,57.198299407958984,57.59226608276367,60.8289909362793,54.35554122924805,55.49589157104492,47.70034408569336,63.291439056396484,83.1106948852539,80.61323547363281,85.608154296875,8398.850630412424,1422.5909207330715,9.035850145756559,7.260235080114752,-0.09525960916621123,-9.525960916621123,0,0,0,0
BGR,Bulgaria,2000,30376118589.10443,3441466.0,5181711683.588192,10.3162621289989,7.560807619879162,6697432491.696024,35.04589530693109,9.743333,68.53022766113281,67.37603759765625,69.68439483642578,65.84105682373047,67.67060089111328,64.01151275634766,69.04226684570312,75.59661102294922,62.48794937133789,62.639835357666016,59.74458694458008,65.53507995605469,56.108768463134766,52.66881561279297,59.548709869384766,49.75264358520508,45.91688537597656,53.588401794433594,62.6598014831543,64.17882537841797,61.14078140258789,55.913841247558594,47.910736083984375,63.91694641113281,83.64083862304688,81.78872680664062,85.49295043945312,8826.505503498925,1505.6698754508084,9.085514462549103,7.316993178122684,0.04966431679254413,4.966431679254413,0,0,0,0
BGR,Bulgaria,2001,31537611343.13572,3494894.0,6080016722.702189,7.3609392723184,5.731626859211392,6763741964.757916,40.06623965426702,10.04,68.75501251220703,68.88668060302734,68.62334442138672,63.678035736083984,69.15853118896484,58.19755172729492,68.94059753417969,74.80963134765625,63.07155990600586,58.41547775268555,63.50741195678711,53.32353973388672,58.273921966552734,55.46271896362305,61.085121154785156,51.94049835205078,48.2974739074707,55.583518981933594,64.86971282958984,66.67696380615234,63.062461853027344,58.01155471801758,51.4137077331543,64.60940551757812,84.31310272216797,82.03882598876953,86.5873794555664,9023.910694612117,1739.6855878038616,9.107633077258475,7.461459679216518,0.022118614709372153,2.2118614709372153,0,0,0,0
BGR,Bulgaria,2002,33389478145.95038,3404016.0,6524390723.353751,5.81014365721825,5.515194614913589,6797745270.170568,40.94023988050971,10.116,67.65766143798828,68.05345916748047,67.26187133789062,58.13864517211914,67.08482360839844,49.192466735839844,67.39134979248047,71.48695373535156,63.295753479003906,48.88594055175781,62.68269348144531,35.08919143676758,60.77385711669922,56.14879608154297,65.39893341064453,52.92927551269531,48.98310470581055,56.87544250488281,66.67747497558594,66.15984344482422,67.19510650634766,62.7148323059082,53.303428649902344,72.1262435913086,84.06048583984375,80.92675018310547,87.19422912597656,9808.848767441275,1916.6745172037238,9.191040192710858,7.558346941047276,0.083407115452383,8.3407115452383,0,0,0,0
BGR,Bulgaria,2003,35138136419.31224,3340007.0,7601443590.388076,2.34864169582757,9.916258528398075,7345804565.220251,45.76096601140824,10.192,70.21398162841797,69.36885070800781,71.05912017822266,63.55382537841797,68.50594329833984,58.601707458496094,68.66785430908203,73.25384521484375,64.08184814453125,58.4398078918457,63.75804138183594,53.1215705871582,62.06478500366211,57.83994674682617,66.28961944580078,54.299686431884766,50.46669387817383,58.1326789855957,67.61530303955078,67.29041290283203,67.940185546875,64.27936553955078,55.76274108886719,72.7959976196289,85.02336120605469,81.76066589355469,88.2860336303711,10520.378076846018,2275.8765446863063,9.261069424509605,7.730120551545843,0.0700292317987472,7.0029231798747205,0,0,0,0
BGR,Bulgaria,2004,37425778712.93168,3379275.0,8420255858.569951,6.14713074246266,11.74623865096885,7696631755.331031,50.46200365973916,10.268,70.80964660644531,69.42169952392578,72.1976089477539,66.39900207519531,72.27325439453125,60.52476501464844,72.89202117919922,77.2385025024414,68.5455322265625,59.90599060058594,67.3079833984375,52.503997802734375,61.85090255737305,55.12043762207031,68.58135986328125,56.94163131713867,51.83305358886719,62.050201416015625,64.4615478515625,59.01585006713867,69.9072494506836,64.14954376220703,54.5124397277832,73.7866439819336,84.17904663085938,80.87140655517578,87.48670959472656,11075.091169831303,2491.7344278195624,9.312453826918397,7.820734304332527,0.051384402408791274,5.138440240879127,0,0,0,0
